"date","title","location","link"
2015-09-09 13:00:00,"236 - 1404 - Cincinnati, OH Merchandise Mayhem September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1404/category/ALL"
2015-09-09 14:00:00,"236 - 1402 - Cincinnati, OH HD.com  Home Improvement Retailer September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1402/category/ALL"
2015-09-09 15:30:00,"236 - 172 - West Chester, OH Staples Professional Office September 9th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office172/category/ALL"
2015-09-09 15:30:00,"236 - 1425 - Cincinnati, OH Summer Time Home Appliance Sale September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1425/category/ALL"
2015-09-09 16:00:00,"236 - 507 - Cincinnati, OH Fasttrackazon Inventory Sale September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii507/category/ALL"
2015-09-09 18:00:00,"236 - 1403 - Cincinnati, OH HD.com Lighting & Electrical Sale September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1403/category/ALL"
2015-09-09 19:00:00,"212 - 623 - 1901 Dalton Avenue, Think Christmas! Sale September 9th, 2015 Internet Only Auction","1901 Dalton Avenue Cincinnati, OH 45214","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii623/category/ALL"
2015-09-09 19:30:00,"236 - 1419 - Cincinnati, OH Sound Bound Electronics September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1419/category/ALL"
2015-09-09 20:00:00,"212 - 622 - 1901 Dalton Avenue, Estate Auction September 9th, 2015 Internet Only Auction","1901 Dalton Avenue Cincinnati, OH 45214","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii622/category/ALL"
2015-09-09 20:30:00,"236 - 174 - West Chester, OH Staples Office Accessories September 9th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office174/category/ALL"
2015-09-09 21:30:00,"236 - 508 - Cincinnati, OH Fasttrackazon Inventory Sale September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii508/category/ALL"
2015-09-09 22:00:00,"220 - 375 - Sharonville, OH Amazing Furiniture & Home Decor September 9th, 2015 Internet Only Auction","12117 Champion Way Sharonville, OH 45241","http://skyrocket.bidfta.net/cgi-bin/mnlist.cgi?skyrocket375/category/ALL"
2015-09-10 08:30:00,"236 - 178 - West Chester, OH Staples September 10th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office178/category/ALL"
2015-09-10 10:00:00,"236 - 1406 - Cincinnati, OH Merchandise Mayhem September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1406/category/ALL"
2015-09-10 11:00:00,"236 - 1408 - Cincinnati, OH Fasttrackazon Inventory Sale September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1408/category/ALL"
2015-09-10 11:30:00,"236 - 187 - West Chester, OH Staples Professional Office September 10th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office187/category/ALL"
2015-09-10 13:00:00,"236 - 505 - Cincinnati, OH HD.com Electrical & Lighting September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii505/category/ALL"
2015-09-10 14:00:00,"26 - 1415 - Cincinnati, OH HD.com Home Improvement Retailer September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1415/category/ALL"
2015-09-10 15:00:00,"230 - 409 - Cincinnati, OH Restaurant and Household Sale September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii409/category/ALL"
2015-09-10 15:30:00,"236 - 183 - West Chester, OH Staples Professional Office September 10th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office183/category/ALL"
2015-09-10 16:00:00,"236 - 1409 - Cincinnati, OH Fasttrackazon Inventory Sale September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1409/category/ALL"
2015-09-10 20:00:00,"233 - 624 - Cincinnati, OH Fox Pizza Restaurant Equipment September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii624/category/ALL"
2015-09-10 20:30:00,"236 - 185 - West Chester, OH Staples Professional Office September 10th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office185/category/ALL"
2015-09-10 20:30:00,"230 - 580 - Cincinnati, OH Estate Property Sale September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii580/category/ALL"
2015-09-10 21:00:00,"236 - 1411 - Cincinnati, OH Fasttrackazon Inventory Sale September 10th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1411/category/ALL"
2015-09-11 08:30:00,"236 - 186 - West Chester, OH Staples Professional Office September 11th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office186/category/ALL"
